post_id;Дата публикации;Площадка;Текст сообщения;reach;Ссылка;Автор
CRM-04100;02.07.2026 12:40;CPA Insider;"Запустили нову звʼязку на UA — перші 48 годин стабільні";2 436;;
CRM-04101;03.07.2026 16:40;TrafficDesk;"Клієнт просить розширити гео, готуємо креативи під PL";1 373;https://t.me/trafficdesk/1841;manager_2
CRM-04102;04.07.2026 13:40;trafficdesk;"Розбір воронки: втрачаємо 40% на кроці ""підтвердження""";4 139;https://t.me/trafficdesk/1842;
CRM-04103;05.07.2026 16:40;Внутренний канал;"Апдейт по виплатах партнерки; чекаємо підтвердження";8 104;;
CRM-04104;06.07.2026 11:00;Внутренний канал;"Тестовий пост, не публікувати";;;
CRM-04105;07.07.2026 09:40;trafficdesk;"Підсумки тижня по закупівлі: витрати, ліди, CR";1 349;https://t.me/trafficdesk/1845;
CRM-04106;08.07.2026 09:15;CPA Insider;"Перенесли домен, стежимо за модерацією";808;;manager_2
CRM-04107;09.07.2026 15:40;Внутренний канал;"Зібрали фідбек по лендингу; правки в роботі";7 294
CRM-04108;10.07.2026 16:00;TrafficDesk;"Запустили нову звʼязку на UA — перші 48 годин стабільні";6 288;https://t.me/trafficdesk/1848;manager_1
CRM-04109;2026-07-11 14:05;CPA Insider;"Клієнт просить розширити гео, готуємо креативи під PL";3 855;;

CRM-04110;12.07.2026 15:40;Внутренний канал;"Розбір воронки: втрачаємо 40% на кроці ""підтвердження""";5 232;;
CRM-04111;13.07.2026 15:40;Внутренний канал;"Апдейт по виплатах партнерки; чекаємо підтвердження";6 049;;
CRM-04112;14.07.2026 12:15;CPA Insider;"Ціна ліда впала; деталі: ""звіт за тиждень""; дивіться вкладення";769;;
CRM-04113;15.07.2026 11:40;TrafficDesk;"Підсумки тижня по закупівлі: витрати, ліди, CR";5 647;https://t.me/trafficdesk/1853;
CRM-04114;16.07.2026 12:40;CPA Insider;"Перенесли домен, стежимо за модерацією";n/a;;manager_1
CRM-04115;17.07.2026 10:15;TrafficDesk;"Зібрали фідбек по лендингу; правки в роботі";8 221;https://t.me/trafficdesk/1855;manager_2
CRM-04116;18.07.2026 10:15;TrafficDesk;"Запустили нову звʼязку на UA — перші 48 годин стабільні";2 770;https://t.me/trafficdesk/1856;manager_2
CRM-04117;19.07.2026 15:15;TrafficDesk;"Клієнт просить розширити гео, готуємо креативи під PL";2 248;https://t.me/trafficdesk/1857;
CRM-04102;03.07.2026 11:15;TrafficDesk;"Клієнт просить розширити гео, готуємо креативи під PL";8 430;https://t.me/trafficdesk/1841;manager_2
